country,designation,points,price,price_GBP
Italy,Vulkà Bianco,87,,
Portugal,Avidagos,87,15.0,18.0
US,,87,14.0,16.8
US,Reserve Late Harvest,87,13.0,15.6
US,Vintner's Reserve Wild Child Block,87,65.0,78.0
Spain,Ars In Vitro,87,15.0,18.0
Italy,Belsito,87,16.0,19.2
France,,87,24.0,28.799999999999997
Germany,Shine,87,12.0,14.399999999999999
France,Les Natures,87,27.0,32.4
US,Mountain Cuvée,87,19.0,22.8
France,,87,30.0,36.0
US,,87,34.0,40.8
Italy,Rosso,87,,
US,,87,12.0,14.399999999999999
Germany,Devon,87,24.0,28.799999999999997
Argentina,Felix,87,30.0,36.0
Argentina,Winemaker Selection,87,13.0,15.6
Spain,Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28.0,33.6
US,,87,32.0,38.4
US,Vin de Maison,87,23.0,27.599999999999998
US,,87,20.0,24.0
Italy,Ficiligno,87,19.0,22.8
US,Signature Selection,87,22.0,26.4
Italy,Aynat,87,35.0,42.0
US,King Ridge Vineyard,87,69.0,82.8
Italy,Dalila,87,13.0,15.6
Italy,,87,10.0,12.0
Italy,Mascaria Barricato,87,17.0,20.4
US,,86,16.0,19.2
France,Nouveau,86,,
Italy,Calanìca Nero d'Avola-Merlot,86,,
Italy,Calanìca Grillo-Viognier,86,,
US,Puma Springs Vineyard,86,50.0,60.0
US,,86,20.0,24.0
US,Hyland,86,50.0,60.0
Chile,Estate,86,15.0,18.0
Italy,Missoni,86,21.0,25.2
Italy,I Tratturi,86,11.0,13.2
Italy,Purato Made With Organic Grapes,86,12.0,14.399999999999999
Italy,,86,17.0,20.4
US,,86,22.0,26.4
France,Nouveau,86,9.0,10.799999999999999
US,,86,14.0,16.8
Chile,,86,9.0,10.799999999999999
US,#SocialSecret,86,40.0,48.0
Italy,Sallier de la Tour,86,13.0,15.6
US,,86,13.0,15.6
US,,86,16.0,19.2
France,Eté Indien,86,14.0,16.8
Italy,Scialo,86,,
Chile,Gran Reserva,85,22.0,26.4
Italy,Dolia,85,14.0,16.8
France,La Fleur d'Amélie,85,15.0,18.0
Italy,Rosso,85,,
US,Estate Bottled,85,30.0,36.0
US,,85,14.0,16.8
Italy,Sallier de la Tour,85,13.0,15.6
Chile,Reserve,85,13.0,15.6
US,,86,55.0,66.0
US,Estate,86,100.0,120.0
Italy,Prugneto,86,17.0,20.4
US,Alder Ridge Vineyard,86,25.0,30.0
France,Brut Rosé,86,58.0,69.6
US,Golden Horn,86,26.0,31.2
France,,86,24.0,28.799999999999997
France,,86,15.0,18.0
US,Inspired,86,46.0,55.199999999999996
US,,86,12.0,14.399999999999999
France,Brut Rosé,86,55.0,66.0
US,,86,12.0,14.399999999999999
US,Old Vine,86,40.0,48.0
Italy,Daginestra,86,32.0,38.4
US,Bella Vetta Vineyard,86,75.0,90.0
US,Estate Grown,86,55.0,66.0
US,The Cypher,86,75.0,90.0
Germany,,86,9.0,10.799999999999999
Australia,Made With Organic Grapes,86,18.0,21.599999999999998
US,Rosé of,86,25.0,30.0
Portugal,Bridão,86,,
Chile,Special Release Reserva,86,12.0,14.399999999999999
Spain,,86,16.0,19.2
France,La Réserve,86,11.0,13.2
Australia,Jester Sangiovese,86,20.0,24.0
US,Classic,86,24.0,28.799999999999997
Germany,Undone Dry,86,10.0,12.0
US,,86,20.0,24.0
US,Blau Vineyards,86,55.0,66.0
Italy,Le Mandorle Riserva,86,29.0,34.8
Italy,,88,19.0,22.8
US,Siena,88,23.0,27.599999999999998
US,,88,18.0,21.599999999999998
US,Magnificat,88,55.0,66.0
Austria,,88,12.0,14.399999999999999
US,Grand Klasse Reserve Lawrence Vineyards,88,22.0,26.4
France,,88,20.0,24.0
France,,88,18.0,21.599999999999998
US,Ingle Vineyard,88,20.0,24.0
Italy,Dono Riserva,88,30.0,36.0
US,Intreccio Library Selection,88,75.0,90.0
US,,88,18.0,21.599999999999998
US,Red Oak Vineyard,87,20.0,24.0
US,Yellow Dog Vineyard,87,20.0,24.0
Chile,Single Vineyard Falaris Hill,87,18.0,21.599999999999998
Italy,Nativo,87,16.0,19.2
Italy,Villa Antinori,87,14.0,16.8
Italy,Castiglioni,87,30.0,36.0
Italy,Ammiraglia Massovivo,87,18.0,21.599999999999998
US,J.D. Hurley,87,26.0,31.2
Italy,Le Volte,87,30.0,36.0
France,Les Quartelets,87,23.0,27.599999999999998
US,Wolff Vineyard,87,85.0,102.0
Italy,Semifonte,87,15.0,18.0
Italy,Poetico,87,19.0,22.8
US,BDX,87,18.0,21.599999999999998
US,,87,18.0,21.599999999999998
US,Camp 4 Vineyard,87,25.0,30.0
US,Estate,87,44.0,52.8
Italy,Toscano,87,80.0,96.0
France,Schoenenbourg Grand Cru Vendanges Tardives,92,80.0,96.0
Italy,Bricco Rocche Prapó,92,70.0,84.0
US,Stuhlmuller Vineyard,92,36.0,43.199999999999996
US,Rockpile Cemetary Vineyard,92,39.0,46.8
Australia,Parson's Flat,92,40.0,48.0
US,,92,45.0,54.0
South Africa,Cabernet Sauvignon Reserve,91,45.0,54.0
France,Vendages Tardives,91,48.0,57.599999999999994
France,Alsace One,91,13.0,15.6
France,,91,17.0,20.4
South Africa,Philosophers' Stone,91,25.0,30.0
Italy,Bricco Rocche Brunate,91,70.0,84.0
France,Gentil,91,20.0,24.0
South Africa,Grand Reserve,91,30.0,36.0
Italy,,91,68.0,81.6
US,,91,78.0,93.6
Italy,Sorano,91,60.0,72.0
France,,91,50.0,60.0
South Africa,Hope Marguerite,90,,
France,Crustacés,90,10.0,12.0
France,Cuvée Jerémy Sélection de Grains Nobles,90,112.0,134.4
Italy,Costa Bruna,90,26.0,31.2
Italy,Vigna dei Pola,90,45.0,54.0
US,,90,17.0,20.4
France,Hunawihr Clos Windsbuhl,90,84.0,100.8
US,K Block,91,85.0,102.0
US,Guidotti Vineyard,91,64.0,76.8
US,Family Reserve,91,68.0,81.6
US,Family Reserve,91,68.0,81.6
Germany,Dry,91,16.0,19.2
US,Destruction Level,91,35.0,42.0
US,Ruth's Reach,91,25.0,30.0
Portugal,Gerações Colheita Seleccionada Branco,91,30.0,36.0
US,Estate Reserve,91,55.0,66.0
US,Old 900,91,46.0,55.199999999999996
Spain,Single Vineyard Estate Bottled,91,50.0,60.0
US,,91,36.0,43.199999999999996
Germany,Graacher Himmelreich Spätlese,91,14.0,16.8
Portugal,Grande Reserva Tinto,91,26.0,31.2
Italy,Bellezza Gran Selezione,91,38.0,45.6
Italy,Filo di Seta,91,,
France,,91,35.0,42.0
US,Mr. Nibbles,91,35.0,42.0
US,Claiborne Vineyard,91,28.0,33.6
France,Hospices Civils de Romanèche Thurins,91,,
Chile,Condesa Real Premium Blend,91,29.0,34.8
Chile,20 Barrels,91,32.0,38.4
France,Charles de Batz,91,25.0,30.0
US,,91,28.0,33.6
US,Rector Creek Vineyard,91,95.0,114.0
US,Dutton Ranch,91,44.0,52.8
Germany,Brauneberger Feinherb,91,30.0,36.0
Germany,,91,22.0,26.4
Chile,The 7th Generation Gran Reserva Estate Bottled,91,20.0,24.0
US,,91,38.0,45.6
New Zealand,,88,19.0,22.8
Italy,De Silva,88,25.0,30.0
Chile,Unusual Cabernet-Shiraz-Zinfandel,88,50.0,60.0
Italy,,88,22.0,26.4
US,Jack London Vineyard,88,25.0,30.0
France,Les Vénérables Vieilles Vignes,88,27.0,32.4
US,Lucia Highland Vineyard,88,23.0,27.599999999999998
US,Mission Ranch,88,36.0,43.199999999999996
Italy,M. Vigna,88,,
Argentina,,88,12.0,14.399999999999999
US,,88,35.0,42.0
Chile,Envero Gran Reserva,88,15.0,18.0
US,Wiley Vineyard,88,40.0,48.0
Italy,Montenero,88,48.0,57.599999999999994
